Epoch,Loss,Val Loss
1.0,40.926822662353516,8.052339553833008
2.0,6.973125457763672,5.340912818908691
3.0,5.814446449279785,4.122119903564453
4.0,5.2860589027404785,3.8127198219299316
5.0,5.116465091705322,3.639005422592163
6.0,4.985010147094727,3.5550220012664795
7.0,4.879472732543945,3.489889144897461
8.0,4.831299304962158,3.4294185638427734
9.0,4.775811195373535,3.378051519393921
10.0,4.710728168487549,3.3381826877593994
11.0,4.654389381408691,3.293546438217163
12.0,4.629164218902588,3.2629501819610596
13.0,4.5859174728393555,3.2307329177856445
14.0,4.529338359832764,3.2306063175201416
15.0,4.521602630615234,3.173611640930176
16.0,4.474020957946777,3.1543521881103516
17.0,4.471789360046387,3.131350517272949
18.0,4.439530849456787,3.1152524948120117
19.0,4.40961217880249,3.0941989421844482
20.0,4.388923645019531,3.088923692703247
21.0,4.386362075805664,3.066710948944092
22.0,4.3530592918396,3.049497127532959
23.0,4.347024440765381,3.036590099334717
24.0,4.3340253829956055,3.0414392948150635
25.0,4.311951637268066,3.010439395904541
26.0,4.31884765625,3.0027928352355957
27.0,4.307764530181885,2.9952495098114014
28.0,4.298209190368652,2.9830033779144287
29.0,4.290128231048584,2.9671475887298584
30.0,4.315798282623291,2.985085964202881
31.0,4.265567779541016,2.954078435897827
32.0,4.260025501251221,2.949122667312622
33.0,4.24502420425415,2.929964542388916
34.0,4.25165319442749,2.9190807342529297
35.0,4.228754997253418,2.92794132232666
36.0,4.221195220947266,2.913935422897339
37.0,4.224582672119141,2.8962361812591553
38.0,4.2339324951171875,2.920619249343872
39.0,4.2495832443237305,2.893232822418213
40.0,4.195998191833496,2.8736519813537598
41.0,4.185445308685303,2.865220546722412
42.0,4.185412406921387,2.892324924468994
43.0,4.1817450523376465,2.846250057220459
44.0,4.169903755187988,2.8603105545043945
45.0,4.155903339385986,2.833693027496338
46.0,4.179969787597656,2.8454389572143555
47.0,4.152217388153076,2.845945119857788
48.0,4.195199966430664,2.823216438293457
49.0,4.185346603393555,2.8081371784210205
50.0,4.131206035614014,2.8058290481567383
