Epoch,Loss,Val Loss
1.0,11.888884544372559,1.7831016778945923
2.0,2.6110141277313232,1.8803352117538452
3.0,1.9283701181411743,1.562615156173706
4.0,1.7680690288543701,1.544285774230957
5.0,1.6889320611953735,1.5536470413208008
6.0,1.660261631011963,1.4953283071517944
7.0,1.6363565921783447,1.487336277961731
8.0,1.624916434288025,1.4689128398895264
9.0,1.5970348119735718,1.4498239755630493
10.0,1.5821864604949951,1.4399187564849854
11.0,1.5755019187927246,1.4131680727005005
12.0,1.5622777938842773,1.4205341339111328
13.0,1.545454502105713,1.3933264017105103
14.0,1.5375248193740845,1.4047833681106567
15.0,1.5192651748657227,1.3678644895553589
16.0,1.5395582914352417,1.3753292560577393
17.0,1.5229923725128174,1.3644073009490967
18.0,1.5062906742095947,1.3664727210998535
19.0,1.493050217628479,1.3576860427856445
20.0,1.5042399168014526,1.3402639627456665
21.0,1.4894334077835083,1.3394105434417725
22.0,1.4768590927124023,1.3349645137786865
23.0,1.4819284677505493,1.3669993877410889
24.0,1.4661061763763428,1.3211253881454468
25.0,1.480012059211731,1.3494840860366821
26.0,1.4590893983840942,1.3083311319351196
27.0,1.4680285453796387,1.334814190864563
28.0,1.4688411951065063,1.302099347114563
29.0,1.460479974746704,1.3250892162322998
30.0,1.4673163890838623,1.3352696895599365
31.0,1.4434319734573364,1.3005692958831787
32.0,1.4577823877334595,1.3101850748062134
33.0,1.4509427547454834,1.3193660974502563
34.0,1.4433562755584717,1.2932510375976562
35.0,1.435128927230835,1.3075001239776611
36.0,1.4294756650924683,1.2948081493377686
37.0,1.4299870729446411,1.304701805114746
38.0,1.446950078010559,1.283029556274414
39.0,1.429681420326233,1.3424018621444702
40.0,1.4382426738739014,1.2811832427978516
41.0,1.4328747987747192,1.2906140089035034
42.0,1.4255043268203735,1.2831920385360718
43.0,1.4452508687973022,1.3310375213623047
44.0,1.423766016960144,1.289746880531311
45.0,1.4175896644592285,1.2786378860473633
46.0,1.425921082496643,1.326370358467102
47.0,1.432992935180664,1.3072928190231323
48.0,1.415720820426941,1.2942413091659546
49.0,1.4131433963775635,1.2900797128677368
50.0,1.4165959358215332,1.2971540689468384
