Epoch,Loss,Val Loss
1.0,47.55893325805664,23.484683990478516
2.0,13.029045104980469,6.699714183807373
3.0,4.214940071105957,3.459662675857544
4.0,2.049701452255249,1.9755877256393433
5.0,1.4938939809799194,1.6123642921447754
6.0,1.3589134216308594,1.510632872581482
7.0,1.3636196851730347,1.506238579750061
8.0,1.2773582935333252,1.4803032875061035
9.0,1.2953904867172241,1.6321947574615479
10.0,1.2740826606750488,1.4990876913070679
11.0,1.242296576499939,1.4670733213424683
12.0,1.2172324657440186,1.6719428300857544
13.0,1.248460054397583,1.772650122642517
14.0,1.2289173603057861,1.6469038724899292
15.0,1.2203246355056763,1.5469701290130615
16.0,1.2427632808685303,1.5093884468078613
17.0,1.189017653465271,1.4909393787384033
18.0,1.1871237754821777,1.4199645519256592
19.0,1.1919302940368652,1.4921767711639404
20.0,1.1823368072509766,1.4394240379333496
21.0,1.1944066286087036,1.442875623703003
22.0,1.232520580291748,1.5230838060379028
23.0,1.1822525262832642,1.4591647386550903
24.0,1.1905083656311035,1.4822443723678589
25.0,1.1750272512435913,1.4673174619674683
26.0,1.183890461921692,1.4200412034988403
27.0,1.175066351890564,1.4084173440933228
28.0,1.1612695455551147,1.4914591312408447
29.0,1.1464707851409912,1.4730316400527954
30.0,1.1766859292984009,1.4094576835632324
31.0,1.1655703783035278,1.4817829132080078
32.0,1.1615370512008667,1.4800304174423218
33.0,1.1545445919036865,1.4854985475540161
34.0,1.148327112197876,1.704642653465271
35.0,1.2350313663482666,1.5618473291397095
36.0,1.1355563402175903,1.5140777826309204
37.0,1.13020920753479,1.496952772140503
38.0,1.1475822925567627,1.4754626750946045
39.0,1.1232110261917114,1.3975297212600708
40.0,1.1157234907150269,1.4062467813491821
41.0,1.1461832523345947,1.4063342809677124
42.0,1.1646671295166016,1.4307029247283936
43.0,1.1300852298736572,1.4206774234771729
44.0,1.1070612668991089,1.4121882915496826
45.0,1.1375811100006104,1.7678037881851196
46.0,1.1587427854537964,1.407277226448059
47.0,1.1001427173614502,1.5500937700271606
48.0,1.1241238117218018,1.4175001382827759
49.0,1.1073782444000244,1.4111734628677368
50.0,1.1350607872009277,1.4366780519485474
