Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 depth,1.2140298340168887,2.3787886698303313,0.32529245775379534,1.5423322177242915,0.5703441572890839,0.8866380028121076,0.6730133106954037,1.0
2 depth,2.090530230183602,6.074856147107807,0.8307189754415626,2.464722326573078,0.9114378615361348,0.8601473399233324,0.1649543632280126,0.97409326
3 depth,1.902193092198286,5.730624039443496,0.7836462321751841,2.3938721852771288,0.8852379522903342,0.8103018586795239,0.21227227703223672,0.9948186
4 depth,1.565508489272993,3.590220768399626,0.4909522869531463,1.8947877898064538,0.700679874802428,0.8995358029365431,0.5064906698856394,1.0
5 depth,1.710424333895473,4.234609627446588,0.5790705962283881,2.057816713764029,0.7609668824780669,0.8868598891951025,0.41791341108292235,1.0
6 depth,2.0479932561569774,5.850636753812456,0.8000576231128952,2.4188089535580226,0.8944594027192599,0.8780679242303321,0.1957754101000584,1.0
7 depth,1.4984519414052908,3.205706256140144,0.43837104158181606,1.7904486186819615,0.6620959459034741,0.909684567290392,0.5593457759099454,1.0
8 depth,1.188124585154823,2.140071024315275,0.29264851144463006,1.4628981592425616,0.540969972775412,0.9011658275581157,0.7058272775582625,1.0
