Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 depth,2.1885345775882556,7.045253295472941,2.3542583858546733,2.6542896027888405,1.5343592753506832,0.11416627102372963,-1.3665201482809994,0.8497409
2 depth,1.300480500623152,2.6055158087796486,0.8706652812948489,1.6141610231880983,0.9330944653650288,0.7708322817276879,0.12480000369840716,0.9896373
3 depth,1.0480071182124922,1.8598384731891064,0.6214879917311303,1.3637589498108185,0.7883450968523432,0.772111324698826,0.37527509164527006,0.9896373
4 depth,1.034161343828048,1.7828462647089447,0.5957600945416335,1.3352326631373816,0.7718549698885364,0.7759677854586687,0.40113698829929556,0.9948186
5 depth,1.1619319801670225,2.153314441048861,0.7195566103320551,1.4674176096288545,0.8482668273203045,0.7611411586578894,0.27669569898913215,0.98445594
6 depth,1.1443404287462418,2.0955830790080467,0.7002649628197174,1.4476128899011802,0.8368183571240042,0.7677331878861083,0.2960878238322633,0.9896373
7 depth,1.137646319351481,2.081554361991405,0.6955770937972604,1.4427592876122493,0.83401264606555,0.7588590869263151,0.30080010883921227,0.9948186
8 depth,0.9073620997331284,1.3465326370474462,0.4499605081101847,1.160401929095021,0.6707909570873661,0.7858877329606909,0.5476959475767416,0.9948186
