Index,MAE,MSE,NMSE,RMSE,NRMSE,R,R²,Fator de 2
1 depth,1.9729922086816494,6.050343854543807,0.7671730221279346,2.459744672632468,0.8758841373880079,0.732835230375759,0.2288312850484825,1.0
2 depth,0.9701588479590396,1.4391159580555482,0.18247738728186016,1.1996315926381516,0.4271737202612774,0.9304901729029935,0.8165722096593802,1.0
3 depth,1.2302954294542716,2.253992179367757,0.2858022673867802,1.501330136701371,0.5346047768087938,0.9271898188230527,0.712709179137247,1.0
4 depth,1.3724387817822032,2.870613992921089,0.36398883522266495,1.6942886391996757,0.6033148723698637,0.9180337443303906,0.6341153895938837,1.0
5 depth,1.2327954559558232,2.405271920351994,0.304984274040906,1.5508939100892731,0.5522538130614455,0.9153753280688637,0.6934272661984643,1.0
6 depth,1.2629021796267867,2.4326875980515013,0.30846053403869456,1.5597075360629316,0.5553922344061848,0.9237131771368655,0.6899329006798539,1.0
7 depth,1.070204767394697,1.7486217606506123,0.22172218190037865,1.3223546274167957,0.4708738492424257,0.9352564512898847,0.7771230150688903,1.0
8 depth,0.8987995386764638,1.2272210296326838,0.1556094808421842,1.1078000855897618,0.3944736757277781,0.9312536520713042,0.8435800531117628,1.0
